id,fee_id,enrollment_id,amount,payment_date,payment_method,receipt_number,notes,created_at,group_size,rn
1638,1345,1345,25000,2025-09-23 12:44:42.367,CCA,,First Installment - Imported from Excel,2025-09-23 12:44:42.368,5,2
3144,1345,1345,25000,2025-09-23 13:31:12.585,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.585,5,3
4650,1345,1345,25000,2025-09-23 14:40:57.33,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.331,5,4
6156,1345,1345,25000,2025-09-23 14:54:52.992,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:52.992,5,5
1639,1346,1346,105000,2025-09-23 12:44:42.374,CCA,,First Installment - Imported from Excel,2025-09-23 12:44:42.374,5,2
3145,1346,1346,105000,2025-09-23 13:31:12.59,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.59,5,3
4651,1346,1346,105000,2025-09-23 14:40:57.336,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.337,5,4
6157,1346,1346,105000,2025-09-23 14:54:52.999,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:53,5,5
3146,1347,1347,25000,2025-09-23 13:31:12.595,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.595,4,2
4652,1347,1347,25000,2025-09-23 14:40:57.342,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.343,4,3
6158,1347,1347,25000,2025-09-23 14:54:53.012,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:53.013,4,4
3147,1347,1347,80000,2025-09-23 13:31:12.596,CCA,,Second Installment - Imported from Excel,2025-09-23 13:31:12.597,4,2
4653,1347,1347,80000,2025-09-23 14:40:57.343,CCA,,Second Installment - Imported from Excel,2025-09-23 14:40:57.346,4,3
6159,1347,1347,80000,2025-09-23 14:54:53.015,CCA,,Second Installment - Imported from Excel,2025-09-23 14:54:53.015,4,4
3148,1348,1348,25000,2025-09-23 13:31:12.605,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.606,4,2
4654,1348,1348,25000,2025-09-23 14:40:57.352,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.353,4,3
6160,1348,1348,25000,2025-09-23 14:54:53.024,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:53.025,4,4
3149,1348,1348,80000,2025-09-23 13:31:12.606,CCA,,Second Installment - Imported from Excel,2025-09-23 13:31:12.607,4,2
4655,1348,1348,80000,2025-09-23 14:40:57.354,CCA,,Second Installment - Imported from Excel,2025-09-23 14:40:57.355,4,3
6161,1348,1348,80000,2025-09-23 14:54:53.026,CCA,,Second Installment - Imported from Excel,2025-09-23 14:54:53.027,4,4
1644,1349,1349,25000,2025-09-23 12:44:42.399,CCA,,First Installment - Imported from Excel,2025-09-23 12:44:42.4,5,2
3150,1349,1349,25000,2025-09-23 13:31:12.612,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.613,5,3
4656,1349,1349,25000,2025-09-23 14:40:57.361,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.362,5,4
6162,1349,1349,25000,2025-09-23 14:54:53.033,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:53.034,5,5
1645,1350,1350,175000,2025-09-23 12:44:42.407,CCA,,First Installment - Imported from Excel,2025-09-23 12:44:42.407,5,2
3151,1350,1350,175000,2025-09-23 13:31:12.618,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.618,5,3
4657,1350,1350,175000,2025-09-23 14:40:57.367,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.368,5,4
6163,1350,1350,175000,2025-09-23 14:54:53.043,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:53.044,5,5
1646,1351,1351,25000,2025-09-23 12:44:42.413,CCA,,First Installment - Imported from Excel,2025-09-23 12:44:42.414,5,2
3152,1351,1351,25000,2025-09-23 13:31:12.623,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.623,5,3
4658,1351,1351,25000,2025-09-23 14:40:57.374,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.374,5,4
6164,1351,1351,25000,2025-09-23 14:54:53.054,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:53.055,5,5
3153,1352,1352,25000,2025-09-23 13:31:12.627,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.628,4,2
4659,1352,1352,25000,2025-09-23 14:40:57.38,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.381,4,3
6165,1352,1352,25000,2025-09-23 14:54:53.061,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:53.062,4,4
3154,1352,1352,150000,2025-09-23 13:31:12.628,CCA,,Second Installment - Imported from Excel,2025-09-23 13:31:12.629,4,2
4660,1352,1352,150000,2025-09-23 14:40:57.381,CCA,,Second Installment - Imported from Excel,2025-09-23 14:40:57.382,4,3
6166,1352,1352,150000,2025-09-23 14:54:53.063,CCA,,Second Installment - Imported from Excel,2025-09-23 14:54:53.063,4,4
3155,1354,1354,25000,2025-09-23 13:31:12.633,CCA,,First Installment - Imported from Excel,2025-09-23 13:31:12.633,4,2
4661,1354,1354,25000,2025-09-23 14:40:57.388,CCA,,First Installment - Imported from Excel,2025-09-23 14:40:57.388,4,3
6167,1354,1354,25000,2025-09-23 14:54:53.07,CCA,,First Installment - Imported from Excel,2025-09-23 14:54:53.071,4,4
3156,1354,1354,100000,2025-09-23 13:31:12.634,CCA,,Second Installment - Imported from Excel,2025-09-23 13:31:12.634,4,2
4662,1354,1354,100000,2025-09-23 14:40:57.389,CCA,,Second Installment - Imported from Excel,2025-09-23 14:40:57.39,4,3
6168,1354,1354,100000,2025-09-23 14:54:53.072,CCA,,Second Installment - Imported from Excel,2025-09-23 14:54:53.073,4,4
3159,1355,1355,20000,2025-09-23 13:31:12.64,CCA,,Third Installment - Imported from Excel,2025-09-23 13:31:12.641,4,2
4665,1355,1355,20000,2025-09-23 14:40:57.403,CCA,,Third Installment - Imported from Excel,2025-09-23 14:40:57.404,4,3
6171,1355,1355,20000,2025-09-23 14:54:53.084,CCA,,Third Installment - Imported from Excel,2025-09-23 14:54:53.085,4,4
